ZIP,Date,Positive,Tested,Per_Pos
10001,4/3/2020,136,304,44.73684211
10002,4/3/2020,317,651,48.69431644
10003,4/3/2020,191,438,43.60730594
10004,4/3/2020,19,42,45.23809524
10005,4/3/2020,28,94,29.78723404
10006,4/3/2020,7,26,26.92307692
10007,4/3/2020,28,75,37.33333333
10009,4/3/2020,236,548,43.06569343
10010,4/3/2020,118,336,35.11904762
10011,4/3/2020,255,549,46.44808743
10012,4/3/2020,77,209,36.84210526
10013,4/3/2020,120,265,45.28301887
10014,4/3/2020,163,347,46.9740634
10016,4/3/2020,295,661,44.62934947
10017,4/3/2020,59,173,34.10404624
10018,4/3/2020,97,211,45.97156398
10019,4/3/2020,226,520,43.46153846
10021,4/3/2020,258,672,38.39285714
10022,4/3/2020,148,400,37
10023,4/3/2020,231,583,39.62264151
10024,4/3/2020,255,731,34.88372093
10025,4/3/2020,327,892,36.65919283
10026,4/3/2020,166,363,45.73002755
10027,4/3/2020,224,504,44.44444444
10028,4/3/2020,220,550,40
10029,4/3/2020,373,807,46.22057001
10030,4/3/2020,135,247,54.65587045
10031,4/3/2020,288,498,57.8313253
10032,4/3/2020,389,670,58.05970149
10033,4/3/2020,342,593,57.67284992
10034,4/3/2020,152,325,46.76923077
10035,4/3/2020,216,452,47.78761062
10036,4/3/2020,150,331,45.31722054
10037,4/3/2020,101,206,49.02912621
10038,4/3/2020,93,198,46.96969697
10039,4/3/2020,141,271,52.0295203
10040,4/3/2020,256,431,59.39675174
10044,4/3/2020,59,135,43.7037037
10065,4/3/2020,158,460,34.34782609
10069,4/3/2020,29,69,42.02898551
10075,4/3/2020,188,417,45.08393285
10111,4/3/2020,0,0,#DIV/0!
10115,4/3/2020,0,0,#DIV/0!
10128,4/3/2020,267,690,38.69565217
10153,4/3/2020,0,0,#DIV/0!
10162,4/3/2020,0,0,#DIV/0!
10280,4/3/2020,19,58,32.75862069
10281,4/3/2020,0,0,#DIV/0!
10282,4/3/2020,28,53,52.83018868
10301,4/3/2020,235,423,55.55555556
10302,4/3/2020,94,187,50.26737968
10303,4/3/2020,144,292,49.31506849
10304,4/3/2020,376,667,56.37181409
10305,4/3/2020,258,561,45.98930481
10306,4/3/2020,351,765,45.88235294
10307,4/3/2020,93,186,50
10308,4/3/2020,184,407,45.20884521
10309,4/3/2020,215,453,47.46136865
10310,4/3/2020,129,269,47.95539033
10312,4/3/2020,418,802,52.11970075
10314,4/3/2020,619,1218,50.82101806
10451,4/3/2020,336,623,53.93258427
10452,4/3/2020,509,824,61.77184466
10453,4/3/2020,527,845,62.36686391
10454,4/3/2020,245,441,55.55555556
10455,4/3/2020,233,432,53.93518519
10456,4/3/2020,500,886,56.43340858
10457,4/3/2020,427,743,57.46971736
10458,4/3/2020,453,800,56.625
10459,4/3/2020,309,534,57.86516854
10460,4/3/2020,344,622,55.30546624
10461,4/3/2020,444,846,52.4822695
10462,4/3/2020,544,1015,53.59605911
10463,4/3/2020,327,780,41.92307692
10464,4/3/2020,30,72,41.66666667
10465,4/3/2020,389,805,48.32298137
10466,4/3/2020,510,889,57.36782902
10467,4/3/2020,836,1446,57.81466113
10468,4/3/2020,529,796,66.45728643
10469,4/3/2020,683,1119,61.03663986
10470,4/3/2020,108,202,53.46534653
10471,4/3/2020,130,343,37.90087464
10472,4/3/2020,417,680,61.32352941
10473,4/3/2020,437,760,57.5
10474,4/3/2020,71,120,59.16666667
10475,4/3/2020,360,607,59.30807249
11001,4/3/2020,0,0,#DIV/0!
11004,4/3/2020,173,277,62.45487365
11101,4/3/2020,201,417,48.20143885
11102,4/3/2020,153,296,51.68918919
11103,4/3/2020,140,264,53.03030303
11104,4/3/2020,136,234,58.11965812
11105,4/3/2020,136,301,45.18272425
11106,4/3/2020,182,354,51.41242938
11109,4/3/2020,23,68,33.82352941
11201,4/3/2020,236,546,43.22344322
11203,4/3/2020,466,737,63.22930801
11204,4/3/2020,712,1171,60.80273271
11205,4/3/2020,242,412,58.73786408
11206,4/3/2020,411,716,57.40223464
11207,4/3/2020,479,798,60.02506266
11208,4/3/2020,520,794,65.49118388
11209,4/3/2020,292,606,48.18481848
11210,4/3/2020,524,859,61.00116414
11211,4/3/2020,788,1225,64.32653061
11212,4/3/2020,395,632,62.5
11213,4/3/2020,498,772,64.50777202
11214,4/3/2020,347,691,50.2170767
11215,4/3/2020,203,493,41.17647059
11216,4/3/2020,210,396,53.03030303
11217,4/3/2020,161,321,50.15576324
11218,4/3/2020,499,856,58.29439252
11219,4/3/2020,1037,1487,69.73772697
11220,4/3/2020,402,654,61.46788991
11221,4/3/2020,335,566,59.18727915
11222,4/3/2020,131,291,45.01718213
11223,4/3/2020,474,858,55.24475524
11224,4/3/2020,195,392,49.74489796
11225,4/3/2020,353,539,65.49165121
11226,4/3/2020,485,786,61.70483461
11228,4/3/2020,158,300,52.66666667
11229,4/3/2020,423,812,52.09359606
11230,4/3/2020,848,1334,63.56821589
11231,4/3/2020,154,317,48.58044164
11232,4/3/2020,141,222,63.51351351
11233,4/3/2020,302,493,61.25760649
11234,4/3/2020,531,937,56.67022412
11235,4/3/2020,421,841,50.05945303
11236,4/3/2020,618,979,63.12563841
11237,4/3/2020,235,352,66.76136364
11238,4/3/2020,253,465,54.40860215
11239,4/3/2020,128,187,68.44919786
11249,4/3/2020,0,0,#DIV/0!
11251,4/3/2020,0,0,#DIV/0!
11354,4/3/2020,205,368,55.70652174
11355,4/3/2020,308,496,62.09677419
11356,4/3/2020,151,288,52.43055556
11357,4/3/2020,230,429,53.61305361
11358,4/3/2020,158,320,49.375
11359,4/3/2020,0,0,#DIV/0!
11360,4/3/2020,86,197,43.65482234
11361,4/3/2020,118,229,51.52838428
11362,4/3/2020,88,193,45.59585492
11363,4/3/2020,33,77,42.85714286
11364,4/3/2020,149,277,53.79061372
11365,4/3/2020,229,418,54.784689
11366,4/3/2020,152,248,61.29032258
11367,4/3/2020,403,631,63.86687797
11368,4/3/2020,1245,1605,77.57009346
11369,4/3/2020,464,623,74.47833066
11370,4/3/2020,510,932,54.72103004
11371,4/3/2020,0,0,#DIV/0!
11372,4/3/2020,697,963,72.37798546
